"Arquivo","Linha","Tipo","Trecho"
"\src\app\(site)\ambientes\page.jsx","46","SEM_ACENTO (ambiente)","src={ambiente.imagemCapa}"
"\src\app\(site)\ambientes\page.jsx","47","SEM_ACENTO (titulo)","alt={ambiente.titulo}"
"\src\app\(site)\ambientes\page.jsx","47","SEM_ACENTO (ambiente)","alt={ambiente.titulo}"
"\src\app\(site)\ambientes\page.jsx","55","SEM_ACENTO (titulo)","<h2 className=""font-titulo text-xl text-branco-gelo mb-2"">"
"\src\app\(site)\ambientes\page.jsx","56","SEM_ACENTO (titulo)","{ambiente.titulo}"
"\src\app\(site)\ambientes\page.jsx","56","SEM_ACENTO (ambiente)","{ambiente.titulo}"
"\src\app\(site)\ambientes\page.jsx","59","SEM_ACENTO (descricao)","{ambiente.descricao}"
"\src\app\(site)\ambientes\page.jsx","59","SEM_ACENTO (ambiente)","{ambiente.descricao}"
"\src\app\(site)\ambientes\page.jsx","62","SEM_ACENTO (portfolio)","href=""/#portfolio"""
"\src\app\(site)\ambientes\page.jsx","65","SEM_ACENTO (projeto)","Ver Projeto"
"\src\app\(site)\blog\[slug]\page.jsx","10","SEM_ACENTO (publicado)","if (!post || !post.publicado) {"
"\src\app\(site)\blog\[slug]\page.jsx","11","SEM_ACENTO (nao)","return { title: ""Post nao encontrado"" };"
"\src\app\(site)\blog\[slug]\page.jsx","14","SEM_ACENTO (titulo)","const titulo = post.metaTitulo || post.titulo;"
"\src\app\(site)\blog\[slug]\page.jsx","15","SEM_ACENTO (descricao)","const descricao = post.metaDescricao || post.resumo;"
"\src\app\(site)\blog\[slug]\page.jsx","18","SEM_ACENTO (titulo)","title: `${titulo} | AW Marcenaria`,"
"\src\app\(site)\blog\[slug]\page.jsx","19","SEM_ACENTO (descricao)","description: descricao,"
"\src\app\(site)\blog\[slug]\page.jsx","21","SEM_ACENTO (titulo)","title: titulo,"
"\src\app\(site)\blog\[slug]\page.jsx","22","SEM_ACENTO (descricao)","description: descricao,"
"\src\app\(site)\blog\[slug]\page.jsx","35","SEM_ACENTO (publicado)","if (!post || !post.publicado) notFound();"
"\src\app\(site)\blog\[slug]\page.jsx","40","SEM_ACENTO (titulo)","headline: post.titulo,"
"\src\app\(site)\blog\[slug]\page.jsx","47","SEM_ACENTO (moveis)","name: ""AW Marcenaria e Moveis Planejados"","
"\src\app\(site)\blog\[slug]\page.jsx","76","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-3xl md:text-5xl text-branco-gelo leading-tight mb-8"">"
"\src\app\(site)\blog\[slug]\page.jsx","77","SEM_ACENTO (titulo)","{post.titulo}"
"\src\app\(site)\blog\[slug]\page.jsx","83","SEM_ACENTO (titulo)","alt={post.titulo}"
"\src\app\(site)\blog\[slug]\page.jsx","103","SEM_ACENTO (voce)","Gostou? Vamos criar um ambiente assim para voce."
"\src\app\(site)\blog\[slug]\page.jsx","103","SEM_ACENTO (ambiente)","Gostou? Vamos criar um ambiente assim para voce."
"\src\app\(site)\blog\[slug]\page.jsx","109","SEM_ACENTO (projeto)","Solicite um Projeto"
"\src\app\(site)\blog\page.jsx","6","SEM_ACENTO (moveis)","title: ""Blog | AW Marcenaria e Moveis Planejados"","
"\src\app\(site)\blog\page.jsx","8","SEM_ACENTO (tendencias)","""Artigos sobre marcenaria planejada, design de interiores, materiais e tendencias."","
"\src\app\(site)\blog\page.jsx","8","SEM_ACENTO (materiais)","""Artigos sobre marcenaria planejada, design de interiores, materiais e tendencias."","
"\src\app\(site)\blog\page.jsx","15","SEM_ACENTO (publicado)","where: { publicado: true },"
"\src\app\(site)\blog\page.jsx","25","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-4xl md:text-5xl text-branco-gelo text-center mb-16"">"
"\src\app\(site)\blog\page.jsx","26","SEM_ACENTO (tendencias)","Ideias, materiais e tendencias"
"\src\app\(site)\blog\page.jsx","26","SEM_ACENTO (materiais)","Ideias, materiais e tendencias"
"\src\app\(site)\blog\page.jsx","44","SEM_ACENTO (titulo)","alt={post.titulo}"
"\src\app\(site)\blog\page.jsx","58","SEM_ACENTO (titulo)","<h2 className=""font-titulo text-xl text-branco-gelo mb-2 group-hover:text-dourado transition"">"
"\src\app\(site)\blog\page.jsx","59","SEM_ACENTO (titulo)","{post.titulo}"
"\src\app\(site)\contato\page.jsx","4","SEM_ACENTO (moveis)","title: ""Contato | AW Marcenaria e Moveis Planejados"","
"\src\app\(site)\contato\page.jsx","6","SEM_ACENTO (projeto)","""Fale com a AW Marcenaria e solicite um projeto sob medida para o seu ambiente."","
"\src\app\(site)\contato\page.jsx","6","SEM_ACENTO (ambiente)","""Fale com a AW Marcenaria e solicite um projeto sob medida para o seu ambiente."","
"\src\app\(site)\depoimentos\page.jsx","4","SEM_ACENTO (moveis)","title: ""Depoimentos | AW Marcenaria e Moveis Planejados"","
"\src\app\(site)\depoimentos\page.jsx","6","SEM_ACENTO (clientes)","""Veja o que nossos clientes dizem sobre os projetos da AW Marcenaria."","
"\src\app\(site)\faq\page.jsx","4","SEM_ACENTO (moveis)","title: ""Perguntas Frequentes | AW Marcenaria e Moveis Planejados"","
"\src\app\(site)\faq\page.jsx","6","SEM_ACENTO (garantia)","""Tire suas duvidas sobre prazos, garantia, materiais e o processo de marcenaria planejada da AW Marcenaria."","
"\src\app\(site)\faq\page.jsx","6","SEM_ACENTO (materiais)","""Tire suas duvidas sobre prazos, garantia, materiais e o processo de marcenaria planejada da AW Marcenaria."","
"\src\app\(site)\portfolio\[slug]\page.jsx","10","SEM_ACENTO (projeto)","const projeto = await prisma.projetoPortfolio.findUnique({"
"\src\app\(site)\portfolio\[slug]\page.jsx","14","SEM_ACENTO (projeto)","if (!projeto || !projeto.publicado) {"
"\src\app\(site)\portfolio\[slug]\page.jsx","14","SEM_ACENTO (publicado)","if (!projeto || !projeto.publicado) {"
"\src\app\(site)\portfolio\[slug]\page.jsx","22","SEM_ACENTO (projeto)","{projeto.categoria}"
"\src\app\(site)\portfolio\[slug]\page.jsx","22","SEM_ACENTO (categoria)","{projeto.categoria}"
"\src\app\(site)\portfolio\[slug]\page.jsx","24","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-4xl text-branco-gelo text-center mb-10"">"
"\src\app\(site)\portfolio\[slug]\page.jsx","25","SEM_ACENTO (titulo)","{projeto.titulo}"
"\src\app\(site)\portfolio\[slug]\page.jsx","25","SEM_ACENTO (projeto)","{projeto.titulo}"
"\src\app\(site)\portfolio\[slug]\page.jsx","30","SEM_ACENTO (projeto)","src={projeto.imagemCapa}"
"\src\app\(site)\portfolio\[slug]\page.jsx","31","SEM_ACENTO (titulo)","alt={projeto.titulo}"
"\src\app\(site)\portfolio\[slug]\page.jsx","31","SEM_ACENTO (projeto)","alt={projeto.titulo}"
"\src\app\(site)\portfolio\[slug]\page.jsx","40","SEM_ACENTO (descricao)","{projeto.descricao}"
"\src\app\(site)\portfolio\[slug]\page.jsx","40","SEM_ACENTO (projeto)","{projeto.descricao}"
"\src\app\(site)\portfolio\[slug]\page.jsx","43","SEM_ACENTO (projeto)","{projeto.imagensGaleria && projeto.imagensGaleria.length > 0 && ("
"\src\app\(site)\portfolio\[slug]\page.jsx","45","SEM_ACENTO (titulo)","<h2 className=""font-titulo text-2xl text-branco-gelo text-center mb-6"">"
"\src\app\(site)\portfolio\[slug]\page.jsx","46","SEM_ACENTO (projeto)","Galeria do Projeto"
"\src\app\(site)\portfolio\[slug]\page.jsx","49","SEM_ACENTO (projeto)","{projeto.imagensGaleria.map((img, index) => ("
"\src\app\(site)\portfolio\[slug]\page.jsx","56","SEM_ACENTO (titulo)","alt={`${projeto.titulo} - foto ${index + 1}`}"
"\src\app\(site)\portfolio\[slug]\page.jsx","56","SEM_ACENTO (projeto)","alt={`${projeto.titulo} - foto ${index + 1}`}"
"\src\app\(site)\portfolio\[slug]\page.jsx","72","SEM_ACENTO (projeto)","Quero um Projeto Assim"
"\src\app\(site)\portfolio\page.jsx","1","SEM_ACENTO (portfolio)","import Portfolio from ""@/components/sections/Portfolio"";"
"\src\app\(site)\portfolio\page.jsx","4","SEM_ACENTO (moveis)","title: ""Portfolio | AW Marcenaria e Moveis Planejados"","
"\src\app\(site)\portfolio\page.jsx","4","SEM_ACENTO (portfolio)","title: ""Portfolio | AW Marcenaria e Moveis Planejados"","
"\src\app\(site)\portfolio\page.jsx","6","SEM_ACENTO (padrao)","""Confira projetos de marcenaria planejada de alto padrao ja entregues pela AW Marcenaria."","
